date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi,city,source_file
2022-08-01,,,,,,,,,,,,Bangkok,air_quality_historical.csv
2022-08-02,,,,,,,,,,,,Bangkok,air_quality_historical.csv
2022-08-03,,,,,,,,,,,,Bangkok,air_quality_historical.csv
2022-08-04,18.758823529411764,12.876470588235296,328.05882352941177,17.723529411764705,8.68235294117647,44.23529411764706,0.1258823529411764,0.0,1.697058823529412,,,Bangkok,air_quality_historical.csv
2022-08-05,16.229166666666668,11.1,256.25,13.625,6.65,37.208333333333336,0.1358333333333333,0.0,0.9166666666666666,46.11764705882353,23.11764705882353,Bangkok,air_quality_historical.csv
2022-08-06,14.608333333333334,9.879166666666666,236.33333333333331,11.858333333333334,6.025,39.29166666666666,0.1395833333333333,0.0,1.6291666666666669,45.875,23.166666666666668,Bangkok,air_quality_historical.csv
2022-08-07,14.9125,10.35,322.5833333333333,16.525000000000002,7.729166666666667,35.083333333333336,0.0858333333333333,0.0,1.5166666666666666,41.16666666666666,20.95833333333333,Bangkok,air_quality_historical.csv
2022-08-08,19.370833333333334,13.420833333333334,322.1666666666667,15.295833333333334,8.633333333333333,33.916666666666664,0.1220833333333333,0.0,0.8354166666666667,44.458333333333336,21.666666666666668,Bangkok,air_quality_historical.csv
2022-08-09,21.6,14.7625,346.0,17.016666666666666,9.683333333333334,46.125,0.1416666666666666,0.2083333333333333,1.0229166666666667,56.125,32.375,Bangkok,air_quality_historical.csv
2022-08-10,19.320833333333333,13.354166666666666,330.7916666666667,17.204166666666666,8.508333333333333,42.833333333333336,0.14375,0.125,1.96875,56.333333333333336,31.83333333333333,Bangkok,air_quality_historical.csv
2022-08-11,14.3875,9.9,278.2083333333333,14.775,7.429166666666667,36.625,0.1441666666666666,0.375,1.6625,45.5,23.125,Bangkok,air_quality_historical.csv
2022-08-12,17.295833333333334,11.65,358.7083333333333,14.195833333333333,6.2625,34.708333333333336,0.1525,0.6666666666666666,1.9041666666666668,41.375,21.0,Bangkok,air_quality_historical.csv
2022-08-13,17.4375,11.633333333333333,338.9166666666667,14.254166666666668,6.254166666666666,41.875,0.1604166666666666,1.0,2.625,51.41666666666666,27.75,Bangkok,air_quality_historical.csv
2022-08-14,25.683333333333334,17.537499999999998,427.5,19.316666666666663,10.4,72.04166666666667,0.1608333333333333,0.625,2.685416666666667,66.20833333333333,39.54166666666666,Bangkok,air_quality_historical.csv
2022-08-15,27.02916666666667,18.383333333333333,533.7916666666666,24.65,13.708333333333334,41.29166666666666,0.1791666666666666,0.8333333333333334,2.097916666666667,65.0,40.625,Bangkok,air_quality_historical.csv
2022-08-16,15.7625,10.925,356.8333333333333,17.808333333333334,9.070833333333333,25.70833333333333,0.1266666666666666,0.0,0.9854166666666666,54.375,28.45833333333333,Bangkok,air_quality_historical.csv
2022-08-17,13.0,8.958333333333334,261.0,12.008333333333333,5.6125,39.458333333333336,0.14875,0.0,2.5854166666666667,41.25,23.58333333333333,Bangkok,air_quality_historical.csv
2022-08-18,18.8375,13.0625,331.0,14.979166666666666,7.645833333333333,52.29166666666666,0.1233333333333333,0.0,2.7895833333333333,44.458333333333336,30.625,Bangkok,air_quality_historical.csv
2022-08-19,22.025,14.95,400.5,17.191666666666666,9.895833333333334,46.833333333333336,0.1616666666666666,0.0,2.6020833333333333,54.41666666666666,34.083333333333336,Bangkok,air_quality_historical.csv
2022-08-20,21.183333333333334,14.091666666666669,357.0,18.35,9.083333333333334,28.75,0.1958333333333333,0.625,1.34375,56.333333333333336,29.916666666666668,Bangkok,air_quality_historical.csv
2022-08-21,21.1125,14.35,389.5416666666667,17.645833333333332,8.929166666666667,33.041666666666664,0.28375,0.75,1.6791666666666665,53.833333333333336,29.25,Bangkok,air_quality_historical.csv
2022-08-22,18.89583333333333,13.054166666666667,385.7083333333333,17.32916666666667,8.191666666666666,40.208333333333336,0.18375,0.375,2.4791666666666665,52.91666666666666,29.70833333333333,Bangkok,air_quality_historical.csv
2022-08-23,29.625,20.29583333333333,448.875,19.904166666666665,12.808333333333332,80.33333333333333,0.18875,0.625,2.704166666666667,73.79166666666667,42.125,Bangkok,air_quality_historical.csv
2022-08-24,44.75416666666666,30.891666666666666,683.0833333333334,29.495833333333334,21.65416666666667,120.95833333333331,0.2129166666666666,0.25,2.6625,126.375,63.208333333333336,Bangkok,air_quality_historical.csv
2022-08-25,23.575,16.245833333333334,429.6666666666667,21.116666666666667,14.479166666666666,41.25,0.2029166666666666,0.25,1.8458333333333332,80.54166666666667,55.5,Bangkok,air_quality_historical.csv
2022-08-26,15.275,10.441666666666666,285.8333333333333,12.475,6.766666666666667,30.416666666666668,0.1791666666666666,0.125,1.8375,51.958333333333336,27.20833333333333,Bangkok,air_quality_historical.csv
